NAME,B08303_001E,B08303_013E,state,county
"Shannon County, Missouri",2641,101,29,203
"Stone County, Missouri",11316,189,29,209
"Texas County, Missouri",8798,244,29,215
"Washington County, Missouri",8518,519,29,221
"Worth County, Missouri",807,82,29,227
"St. Louis city, Missouri",142998,3211,29,510
"Bay County, Florida",79828,1834,12,005
"Broward County, Florida",890819,22005,12,011
"Citrus County, Florida",42898,1810,12,017
"Columbia County, Florida",24687,611,12,023
"Duval County, Florida",432456,6488,12,031
"Franklin County, Florida",3956,91,12,037
"Glades County, Florida",3466,225,12,043
"Hardee County, Florida",9025,230,12,049
"Highlands County, Florida",31889,1009,12,055
"Indian River County, Florida",53970,1605,12,061
"Lafayette County, Florida",2645,113,12,067
"Leon County, Florida",135010,1235,12,073
"Liberty County, Florida",2430,109,12,077
"Marion County, Florida",121118,2732,12,083
"Monroe County, Florida",37032,694,12,087
"Okeechobee County, Florida",14747,748,12,093
"Arthur County, Nebraska",190,3,31,005
"Boone County, Nebraska",2483,32,31,011
"Brown County, Nebraska",1243,23,31,017
"Butler County, Nebraska",3808,59,31,023
"Wadena County, Minnesota",5360,158,27,159
"Chase County, Nebraska",1672,8,31,029
"Clay County, Nebraska",2835,38,31,035
"Cuming County, Nebraska",4376,61,31,039
"Dawes County, Nebraska",3962,31,31,045
"Dixon County, Nebraska",2763,32,31,051
"Dundy County, Nebraska",911,8,31,057
"Frontier County, Nebraska",1148,14,31,063
"Garden County, Nebraska",668,0,31,069
"Grant County, Nebraska",267,12,31,075
"Hamilton County, Nebraska",4473,47,31,081
"Cherokee County, Alabama",9993,364,01,019
"Chilton County, Alabama",17117,340,01,021
"Choctaw County, Alabama",4251,307,01,023
"Clarke County, Alabama",7879,291,01,025
"Clay County, Alabama",5040,164,01,027
"Cleburne County, Alabama",5508,316,01,029
"Coffee County, Alabama",21822,459,01,031
"Colbert County, Alabama",22354,349,01,033
"Conecuh County, Alabama",3930,249,01,035
"Coosa County, Alabama",3808,64,01,037
"Crenshaw County, Alabama",5286,231,01,041
"Cullman County, Alabama",34167,911,01,043
"Dallas County, Alabama",13455,261,01,047
"DeKalb County, Alabama",28963,857,01,049
"Escambia County, Alabama",12304,205,01,053
"Etowah County, Alabama",40850,1278,01,055
"Franklin County, Alabama",12819,331,01,059
"Greene County, Alabama",2184,147,01,063
"Hale County, Alabama",5082,166,01,065
"Houston County, Alabama",42757,663,01,069
"Jackson County, Alabama",18850,538,01,071
"Lamar County, Alabama",4994,62,01,075
"Lauderdale County, Alabama",38936,916,01,077
"Lee County, Alabama",71148,1405,01,081
"Lowndes County, Alabama",3492,73,01,085
"Macon County, Alabama",6698,75,01,087
"Marengo County, Alabama",6482,217,01,091
"Marion County, Alabama",11172,490,01,093
"Mobile County, Alabama",164732,3145,01,097
"Monroe County, Alabama",6502,238,01,099
"Morgan County, Alabama",49706,684,01,103
"Pickens County, Alabama",6267,358,01,107
"Pike County, Alabama",13273,312,01,109
"Russell County, Alabama",22933,599,01,113
"St. Clair County, Alabama",37775,548,01,115
"Sumter County, Alabama",4394,105,01,119
"Tallapoosa County, Alabama",14838,562,01,123
"Tuscaloosa County, Alabama",91061,1320,01,125
"Washington County, Alabama",5367,316,01,129
"Wilcox County, Alabama",3119,131,01,131
"Alameda County, California",711706,35553,06,001
"Alpine County, California",262,13,06,003
"Butte County, California",85708,2554,06,007
"Colusa County, California",9030,429,06,011
"Contra Costa County, California",492868,44826,06,013
"El Dorado County, California",74397,3257,06,017
"Fresno County, California",374636,8566,06,019
"Chambers County, Alabama",13927,195,01,017
"Humboldt County, California",53665,995,06,023
"Imperial County, California",55071,1703,06,025
"Kern County, California",324569,9728,06,029
"Kings County, California",53648,1285,06,031
"Lassen County, California",7607,204,06,035
"Madera County, California",53668,2563,06,039
"Marin County, California",105787,4031,06,041
"Mariposa County, California",6110,473,06,043
"Mendocino County, California",32751,1132,06,045
"Merced County, California",98646,8542,06,047
"Modoc County, California",2652,86,06,049
"Clay County, Minnesota",30614,432,27,027
